name,id,source,placement_rule,pct_new_chunks_hosting_anchor,expected_per_1000x1000_blocks,average_spacing,biome_terrain_restrictions,sample,relative_std_error,note
Marine Temple Mansion,glm:B67,JasprImportedWorldgen GLM_freebuff,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 37.7 of 2087; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.00005748,0.0022,"about 1 per 21,100 x 21,100 blocks","ocean: >= 4 of 5 samples below y62 and all <= y59; 62x34x62 blocks; picked in 51,699 cells, placed in 8,981 (failed attempts: terrain/habitat 366,867, catalogue 1,053, HorrorBiomes claim 28)","6,780,764 cells in a 2,000k x 2,000k square; 8,981 admitted",1.06%,
Coastal Lighthouse Residence,glm:B73,JasprImportedWorldgen GLM_freebuff,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 81.3 of 2087; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0002256,0.0088,"about 1 per 10,700 x 10,700 blocks","shore: some but not all of the 5 samples below y62; origin at waterline; 20x56x20 blocks; picked in 112,816 cells, placed in 35,246 (failed attempts: terrain/habitat 725,544, catalogue 1,650, HorrorBiomes claim 202)","6,780,764 cells in a 2,000k x 2,000k square; 35,246 admitted",0.53%,
Horror Laboratory,glm:B74,JasprImportedWorldgen GLM_freebuff,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 99.4 of 2087; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0008782,0.0343,"about 1 per 5,400 x 5,400 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 8 blocks; origin = centre ground + 1 - surfaceAnchor; 21x8x14 blocks; picked in 137,422 cells, placed in 137,200 (failed attempts: terrain/habitat 42,559, catalogue 6,237, HorrorBiomes claim 8,519)","6,780,764 cells in a 2,000k x 2,000k square; 137,217 admitted",0.27%,
Subway Station,glm:B75,JasprImportedWorldgen GLM_freebuff,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 98.4 of 2087; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0008638,0.0337,"about 1 per 5,400 x 5,400 blocks","underground: top at y61, lowest of 5 samples must exceed y65; 17x11x17 blocks; picked in 135,773 cells, placed in 134,959 (failed attempts: terrain/habitat 61,524, catalogue 6,250, HorrorBiomes claim 8,918)","6,780,764 cells in a 2,000k x 2,000k square; 134,969 admitted",0.27%,
Gothic Cathedral,glm:B76,JasprImportedWorldgen GLM_freebuff,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 5.7 of 2087; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.00001279,0.0005,"about 1 per 44,700 x 44,700 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 8 blocks; origin = centre ground + 1 - surfaceAnchor; 113x69x148 blocks; picked in 7,834 cells, placed in 1,999 (failed attempts: terrain/habitat 43,597, catalogue 1,289, HorrorBiomes claim 7,954)","6,780,764 cells in a 2,000k x 2,000k square; 1,999 admitted",2.24%,
Los Pollos Hermanos,glm:B77,JasprImportedWorldgen GLM_freebuff,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 68.5 of 2087; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0005877,0.0230,"about 1 per 6,600 x 6,600 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 8 blocks; origin = centre ground + 1 - surfaceAnchor; 58x9x29 blocks; picked in 94,348 cells, placed in 91,821 (failed attempts: terrain/habitat 102,275, catalogue 7,580, HorrorBiomes claim 19,074)","6,780,764 cells in a 2,000k x 2,000k square; 91,825 admitted",0.33%,
Vice City Lawyer's Office,glm:B78,JasprImportedWorldgen GLM_freebuff,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 96.4 of 2087; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0008492,0.0332,"about 1 per 5,500 x 5,500 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 8 blocks; origin = centre ground + 1 - surfaceAnchor; 14x16x14 blocks; picked in 132,843 cells, placed in 132,680 (failed attempts: terrain/habitat 34,343, catalogue 5,446, HorrorBiomes claim 5,278)","6,780,764 cells in a 2,000k x 2,000k square; 132,688 admitted",0.27%,
Stone Fortress,codex:cbd_001,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 108.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0001912,0.0075,"about 1 per 11,600 x 11,600 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 30x35x35 blocks; picked in 31,647 cells, placed in 29,870 (failed attempts: terrain/habitat 50,580, catalogue 1,957, HorrorBiomes claim 5,165)","6,780,764 cells in a 2,000k x 2,000k square; 29,872 admitted",0.58%,
Spooky Addams Family Mansion House,codex:cbd_002,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 108.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0001871,0.0073,"about 1 per 11,700 x 11,700 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 28x32x47 blocks; picked in 31,700 cells, placed in 29,227 (failed attempts: terrain/habitat 60,090, catalogue 1,981, HorrorBiomes claim 5,224)","6,780,764 cells in a 2,000k x 2,000k square; 29,229 admitted",0.58%,
Verdant Gothic Cathedral,codex:cbd_003,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 108.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.00009243,0.0036,"about 1 per 16,600 x 16,600 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 54x124x114 blocks; picked in 31,758 cells, placed in 14,442 (failed attempts: terrain/habitat 162,771, catalogue 2,460, HorrorBiomes claim 14,786)","6,780,764 cells in a 2,000k x 2,000k square; 14,442 admitted",0.83%,
SpongeBob's Pineapple House,codex:cbd_004,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 108.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0001925,0.0075,"about 1 per 11,500 x 11,500 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 25x23x39 blocks; picked in 31,533 cells, placed in 30,073 (failed attempts: terrain/habitat 46,378, catalogue 1,992, HorrorBiomes claim 5,212)","6,780,764 cells in a 2,000k x 2,000k square; 30,073 admitted",0.58%,
Cozy Hobbit Hole Dwelling,codex:cbd_005,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 108.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0002026,0.0079,"about 1 per 11,200 x 11,200 blocks","embedded: dry, 5 samples within 8 blocks; sunk 3 blocks; 22x13x25 blocks; picked in 31,771 cells, placed in 31,657 (failed attempts: terrain/habitat 13,646, catalogue 1,670, HorrorBiomes claim 3,429)","6,780,764 cells in a 2,000k x 2,000k square; 31,659 admitted",0.56%,
Castlevania Castle Structure,codex:cbd_006,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 92.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.000001146,0.0000,"about 1 per 149,500 x 149,500 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; tall_castle_embed: may be lowered up to 12 to fit under y256; 160x217x182 blocks; picked in 26,903 cells, placed in 179 (failed attempts: terrain/habitat 204,156, catalogue 1,424, HorrorBiomes claim 8,827)","6,780,764 cells in a 2,000k x 2,000k square; 179 admitted",7.47%,
Krusty Krab Restaurant Replica,codex:cbd_007,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 108.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0001848,0.0072,"about 1 per 11,800 x 11,800 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 34x21x42 blocks; picked in 31,911 cells, placed in 28,873 (failed attempts: terrain/habitat 65,028, catalogue 2,198, HorrorBiomes claim 7,100)","6,780,764 cells in a 2,000k x 2,000k square; 28,873 admitted",0.59%,
Adventure Time Cartoon House,codex:cbd_008,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 108.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0001667,0.0065,"about 1 per 12,400 x 12,400 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 51x57x41 blocks; picked in 31,678 cells, placed in 26,052 (failed attempts: terrain/habitat 87,232, catalogue 2,685, HorrorBiomes claim 10,138)","6,780,764 cells in a 2,000k x 2,000k square; 26,052 admitted",0.62%,
Massive Dark Oak Medieval Mansion,codex:cbd_009,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 108.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0001397,0.0055,"about 1 per 13,500 x 13,500 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 61x28x61 blocks; picked in 31,692 cells, placed in 21,823 (failed attempts: terrain/habitat 120,024, catalogue 2,755, HorrorBiomes claim 9,768)","6,780,764 cells in a 2,000k x 2,000k square; 21,824 admitted",0.68%,
Six-Story Hotel with Furnished Rooms,codex:cbd_010,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 108.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0002011,0.0079,"about 1 per 11,300 x 11,300 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 20x31x17 blocks; picked in 31,668 cells, placed in 31,420 (failed attempts: terrain/habitat 21,188, catalogue 1,527, HorrorBiomes claim 3,673)","6,780,764 cells in a 2,000k x 2,000k square; 31,423 admitted",0.56%,
Grand Chinese Mansion,codex:cbd_011,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 100.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.00007330,0.0029,"about 1 per 18,700 x 18,700 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 41x38x151 blocks; picked in 29,102 cells, placed in 11,453 (failed attempts: terrain/habitat 158,477, catalogue 2,229, HorrorBiomes claim 14,429)","6,780,764 cells in a 2,000k x 2,000k square; 11,453 admitted",0.93%,
Squidward House,codex:cbd_012,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 108.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0001984,0.0077,"about 1 per 11,400 x 11,400 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 23x25x29 blocks; picked in 31,706 cells, placed in 30,996 (failed attempts: terrain/habitat 34,522, catalogue 1,664, HorrorBiomes claim 3,694)","6,780,764 cells in a 2,000k x 2,000k square; 30,997 admitted",0.57%,
Tudor Spruce Manor House,codex:cbd_013,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 108.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0001787,0.0070,"about 1 per 12,000 x 12,000 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 46x28x37 blocks; picked in 31,817 cells, placed in 27,924 (failed attempts: terrain/habitat 73,615, catalogue 2,341, HorrorBiomes claim 6,948)","6,780,764 cells in a 2,000k x 2,000k square; 27,924 admitted",0.60%,
Modern Forest Mansion Survival Mega Base,codex:cbd_014,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 108.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.00007824,0.0031,"about 1 per 18,100 x 18,100 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 70x46x107 blocks; picked in 31,672 cells, placed in 12,224 (failed attempts: terrain/habitat 172,847, catalogue 2,805, HorrorBiomes claim 16,221)","6,780,764 cells in a 2,000k x 2,000k square; 12,225 admitted",0.90%,
Grand Fortified Medieval Stone Castle,codex:cbd_015,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 100.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0001077,0.0042,"about 1 per 15,400 x 15,400 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 88x75x57 blocks; picked in 29,490 cells, placed in 16,824 (failed attempts: terrain/habitat 132,358, catalogue 2,979, HorrorBiomes claim 11,774)","6,780,764 cells in a 2,000k x 2,000k square; 16,824 admitted",0.77%,
Gothic Style Cathedral Structure,codex:cbd_016,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 108.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.00009197,0.0036,"about 1 per 16,700 x 16,700 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 54x124x114 blocks; picked in 31,576 cells, placed in 14,370 (failed attempts: terrain/habitat 161,974, catalogue 2,574, HorrorBiomes claim 14,745)","6,780,764 cells in a 2,000k x 2,000k square; 14,370 admitted",0.83%,
Ultimate Modern Shopping Mall Survival Base,codex:cbd_017,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 92.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.00002378,0.0009,"about 1 per 32,800 x 32,800 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 128x72x128 blocks; picked in 27,032 cells, placed in 3,716 (failed attempts: terrain/habitat 184,568, catalogue 2,133, HorrorBiomes claim 12,077)","6,780,764 cells in a 2,000k x 2,000k square; 3,716 admitted",1.64%,
Victorian Queen Anne Mansion Villa,codex:cbd_018,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 100.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.00006275,0.0025,"about 1 per 20,200 x 20,200 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 96x64x96 blocks; picked in 29,563 cells, placed in 9,804 (failed attempts: terrain/habitat 171,396, catalogue 2,726, HorrorBiomes claim 13,671)","6,780,764 cells in a 2,000k x 2,000k square; 9,804 admitted",1.01%,
Ultimate Nether Hub Portal Station Survival Base,codex:cbd_019,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 100.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.00002570,0.0010,"about 1 per 31,600 x 31,600 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 128x82x128 blocks; picked in 29,327 cells, placed in 4,016 (failed attempts: terrain/habitat 200,513, catalogue 2,220, HorrorBiomes claim 12,935)","6,780,764 cells in a 2,000k x 2,000k square; 4,016 admitted",1.58%,
Titanic Ship Structure,codex:cbd_020,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 108.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.00002998,0.0012,"about 1 per 29,200 x 29,200 blocks","ocean: >= 4 of 5 samples below y62 and all <= y59; 23x29x128 blocks; picked in 31,577 cells, placed in 4,684 (failed attempts: terrain/habitat 228,685, catalogue 441, HorrorBiomes claim 19)","6,780,764 cells in a 2,000k x 2,000k square; 4,684 admitted",1.46%,
Hagrid's Magical Hut,codex:cbd_021,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 108.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0001876,0.0073,"about 1 per 11,700 x 11,700 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 34x28x35 blocks; picked in 31,803 cells, placed in 29,311 (failed attempts: terrain/habitat 59,245, catalogue 2,198, HorrorBiomes claim 7,067)","6,780,764 cells in a 2,000k x 2,000k square; 29,311 admitted",0.58%,
The Vannah Hotel Large Build,codex:cbd_022,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 108.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0001838,0.0072,"about 1 per 11,800 x 11,800 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 37x24x40 blocks; picked in 31,800 cells, placed in 28,725 (failed attempts: terrain/habitat 65,117, catalogue 2,228, HorrorBiomes claim 7,100)","6,780,764 cells in a 2,000k x 2,000k square; 28,725 admitted",0.59%,
Modern Police Station Structure,codex:cbd_023,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 108.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0001915,0.0075,"about 1 per 11,600 x 11,600 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 27x9x36 blocks; picked in 31,479 cells, placed in 29,926 (failed attempts: terrain/habitat 47,467, catalogue 1,980, HorrorBiomes claim 5,143)","6,780,764 cells in a 2,000k x 2,000k square; 29,927 admitted",0.58%,
Adventure Time Tree House Build,codex:cbd_024,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 108.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.00007833,0.0031,"about 1 per 18,100 x 18,100 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 94x96x87 blocks; picked in 31,633 cells, placed in 12,238 (failed attempts: terrain/habitat 174,490, catalogue 3,043, HorrorBiomes claim 14,080)","6,780,764 cells in a 2,000k x 2,000k square; 12,239 admitted",0.90%,
Spruce Tree Mansion With Interior,codex:cbd_025,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 108.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0001872,0.0073,"about 1 per 11,700 x 11,700 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 45x20x30 blocks; picked in 31,802 cells, placed in 29,247 (failed attempts: terrain/habitat 61,260, catalogue 2,194, HorrorBiomes claim 5,062)","6,780,764 cells in a 2,000k x 2,000k square; 29,252 admitted",0.58%,
The Simpsons Family House,codex:cbd_026,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 108.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0001934,0.0076,"about 1 per 11,500 x 11,500 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 31x21x32 blocks; picked in 31,748 cells, placed in 30,214 (failed attempts: terrain/habitat 49,370, catalogue 1,856, HorrorBiomes claim 4,376)","6,780,764 cells in a 2,000k x 2,000k square; 30,214 admitted",0.58%,
Moe's Tavern Simpsons Build,codex:cbd_027,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 108.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0001963,0.0077,"about 1 per 11,400 x 11,400 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 34x10x20 blocks; picked in 31,623 cells, placed in 30,672 (failed attempts: terrain/habitat 38,832, catalogue 2,023, HorrorBiomes claim 4,967)","6,780,764 cells in a 2,000k x 2,000k square; 30,672 admitted",0.57%,
Wizard Tower Survival Base Build,codex:cbd_028,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 108.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0001966,0.0077,"about 1 per 11,400 x 11,400 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 29x103x28 blocks; picked in 31,690 cells, placed in 30,713 (failed attempts: terrain/habitat 39,577, catalogue 1,778, HorrorBiomes claim 3,653)","6,780,764 cells in a 2,000k x 2,000k square; 30,716 admitted",0.57%,
Enchanted Wizard Apprentice Tower,codex:cbd_029,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 108.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.0001998,0.0078,"about 1 per 11,300 x 11,300 blocks","land: 5 samples (4 corners + centre) all >= y62 and within 5 blocks; origin = centre ground + 1 - surfaceAnchor; 23x56x23 blocks; picked in 31,668 cells, placed in 31,217 (failed attempts: terrain/habitat 27,072, catalogue 1,661, HorrorBiomes claim 3,856)","6,780,764 cells in a 2,000k x 2,000k square; 31,218 admitted",0.57%,
Thousand Sunny One Piece Ship Schematic,codex:cbd_030,JasprImportedWorldgen ChatGPT_Codex_Structures,"one plan per 48x48-chunk (768-block) cell: 85% of cells plan, 50/50 collection, then weight 100.0 of 9808; up to 8 random chunk-aligned positions; rejected on catalogue sites (+16), HorrorBiomes set-piece/lattice-room/sanctuary claim boxes (+2), |x|,|z| < 600 and explored chunks",0.00001721,0.0007,"about 1 per 38,600 x 38,600 blocks","ocean: >= 4 of 5 samples below y62 and all <= y59; 86x135x117 blocks; picked in 29,431 cells, placed in 2,689 (failed attempts: terrain/habitat 221,325, catalogue 501, HorrorBiomes claim 261)","6,780,764 cells in a 2,000k x 2,000k square; 2,689 admitted",1.93%,
